N,P,K,temperature,humidity,ph,rainfall,label
17.24,23.57,9.26,18.98,91.51,6.46,113.64,orange
43.07,13.73,45.25,21.84,87.65,6.94,112.17,pomegranate
39.44,67.05,26.94,16.47,21.32,5.96,129.91,kidneybeans
85.21,14.27,54.92,23.5,87.48,6.96,52.75,watermelon
29.68,44.68,21.19,29.54,88.66,6.86,56.05,mungbean
49.88,73.8,21.48,33.11,64.73,7.63,64.49,blackgram
74.66,51.78,37.51,19.17,80.45,5.17,276.46,rice
95.52,52.3,37.7,23.74,86.27,6.99,286.08,rice
118.58,60.0,18.22,23.28,77.33,6.84,90.31,cotton
111.39,42.56,22.89,23.29,85.77,6.76,84.25,cotton
23.9,67.75,16.9,32.1,58.15,6.87,99.4,pigeonpeas
18.01,9.88,9.85,34.68,93.56,7.61,101.95,orange
54.19,62.59,21.29,30.19,69.59,7.47,69.75,blackgram
33.9,79.75,16.25,24.11,63.02,7.37,53.98,lentil
98.53,90.24,52.01,27.08,78.85,6.27,98.28,banana
29.84,33.18,35.35,34.81,47.41,6.69,99.41,mango
76.23,41.86,22.57,21.34,65.13,7.01,93.72,maize
18.97,125.06,200.46,21.73,89.3,6.09,113.37,apple
14.86,18.52,38.61,19.52,85.27,7.14,119.52,pomegranate
28.68,22.51,35.6,33.08,49.99,6.99,99.14,mango
120.08,40.22,25.41,24.65,77.16,6.2,99.94,cotton
35.88,52.6,25.57,27.12,82.25,6.83,51.42,mungbean
32.37,55.31,19.99,26.48,37.35,5.49,99.1,pigeonpeas
39.46,59.13,83.16,18.73,14.66,7.89,85.88,chickpea
15.7,140.78,195.81,22.24,91.24,5.99,104.38,apple
84.43,36.03,29.68,27.45,51.37,6.91,121.96,coffee
42.35,79.51,17.62,34.08,46.54,5.08,146.02,pigeonpeas
80.16,54.49,38.56,27.06,77.16,6.75,195.37,jute
76.49,53.71,36.23,26.11,77.58,6.61,200.26,jute
73.45,41.73,40.63,24.12,74.82,6.95,161.86,jute
42.96,46.88,47.89,40.85,95.14,6.83,101.08,papaya
15.0,78.65,19.18,20.36,64.77,7.39,40.83,lentil
20.99,131.89,205.5,28.04,82.77,5.34,68.39,grapes
87.35,53.6,37.73,19.92,82.74,6.7,233.81,rice
15.53,30.15,8.29,34.54,94.23,7.81,115.14,orange
29.1,35.47,23.89,28.77,79.93,6.18,53.43,mungbean
36.98,34.32,27.3,29.82,49.49,5.0,103.98,mango
34.87,65.7,16.77,19.19,20.09,5.84,108.42,kidneybeans
22.15,122.78,205.77,18.85,81.88,5.57,79.01,grapes
20.03,58.43,26.0,26.15,83.09,6.88,48.99,mungbean
42.4,30.42,8.59,32.8,90.19,6.37,108.91,orange
41.75,57.32,12.34,29.65,58.05,7.03,90.08,pigeonpeas
108.91,94.91,58.72,26.48,75.01,6.06,98.36,banana
82.13,54.13,42.72,23.46,81.05,5.5,246.03,rice
38.17,55.55,21.15,35.52,65.07,4.86,116.84,pigeonpeas
10.71,13.63,36.36,24.25,86.95,5.63,117.04,pomegranate
107.1,27.25,26.57,24.71,60.53,6.99,160.16,coffee
116.75,12.05,49.53,29.49,92.26,6.01,25.99,muskmelon
38.88,71.86,22.82,29.11,66.86,6.84,70.21,blackgram
59.82,46.19,50.8,35.3,94.76,6.85,147.15,papaya
49.23,55.53,47.75,35.8,92.19,6.79,163.34,papaya
25.37,11.99,35.09,18.94,86.56,5.35,108.51,pomegranate
29.67,59.53,21.93,19.12,22.93,5.83,95.54,kidneybeans
25.18,67.59,78.21,19.78,19.22,6.27,75.55,chickpea
34.19,43.17,21.53,27.85,83.12,6.19,61.27,mungbean
42.37,55.06,18.59,29.68,82.8,6.41,40.76,mungbean
18.27,20.66,34.33,32.03,52.01,4.68,103.82,mango
21.57,78.18,20.18,20.46,45.13,6.35,154.2,pigeonpeas
95.98,27.7,52.95,29.79,88.17,6.56,28.27,muskmelon
13.61,31.31,30.34,34.25,50.77,5.51,97.36,mango
25.71,40.87,23.46,25.56,58.29,4.18,70.56,mothbeans
9.77,55.1,19.19,29.89,68.38,5.18,115.64,pigeonpeas
90.01,27.27,54.59,27.61,95.17,6.78,25.34,muskmelon
96.47,62.59,41.61,24.69,83.12,5.91,245.91,rice
28.45,27.89,37.83,20.27,96.27,6.17,112.81,pomegranate
92.9,15.99,45.47,27.23,94.5,6.66,24.69,muskmelon
21.96,58.8,25.17,19.81,50.79,4.95,150.4,pigeonpeas
31.78,125.11,195.44,23.35,93.92,6.37,119.81,apple
6.88,38.32,18.73,28.97,85.7,6.91,60.75,mungbean
91.13,36.48,42.22,23.5,81.8,6.75,183.27,rice
18.63,54.01,18.9,24.26,21.79,5.74,146.71,kidneybeans
11.27,132.15,202.96,22.93,93.5,5.6,128.07,apple
93.2,35.03,41.8,23.97,82.99,6.76,242.9,rice
18.11,12.12,30.85,35.41,48.25,4.76,102.25,mango
40.52,57.75,44.85,35.44,90.75,6.72,96.36,papaya
28.06,48.06,20.51,29.01,54.77,6.83,41.25,mothbeans
137.3,50.75,26.34,26.65,83.87,7.94,77.49,cotton
38.06,30.31,39.1,21.92,91.9,5.73,105.78,pomegranate
24.27,82.36,17.68,31.57,42.64,5.91,100.72,pigeonpeas
44.23,66.05,51.67,35.78,91.72,6.98,217.19,papaya
10.84,78.22,15.19,31.17,60.89,6.0,56.19,lentil
84.61,57.04,18.17,21.35,70.74,6.61,82.95,maize
40.51,68.52,76.78,20.39,16.56,8.21,88.0,chickpea
90.24,21.62,55.45,27.73,90.71,7.12,26.91,muskmelon
99.12,58.76,13.79,20.67,61.32,6.93,81.97,cotton
36.4,54.23,19.14,22.28,20.34,5.72,80.02,kidneybeans
39.89,60.14,77.87,18.57,18.27,8.47,83.88,chickpea
12.45,38.06,26.13,27.78,81.76,7.19,55.75,mungbean
120.41,15.61,33.68,25.35,60.29,7.55,192.73,coffee
99.65,23.49,33.91,25.07,51.61,7.0,182.43,coffee
12.97,26.75,9.37,32.27,93.3,6.27,120.03,orange
123.41,28.09,48.33,23.56,87.99,6.25,55.95,watermelon
26.66,22.23,13.12,13.4,91.32,6.86,124.42,orange
20.76,136.07,196.04,13.3,84.13,5.72,70.38,grapes
106.9,32.2,29.98,27.49,56.51,7.15,165.6,coffee
26.43,65.66,19.24,28.67,67.43,7.29,164.71,pigeonpeas
18.2,19.77,29.29,33.49,47.08,4.86,92.59,mango
17.96,141.41,202.37,22.42,92.45,5.67,110.67,apple
19.5,32.38,31.83,30.03,46.2,6.24,89.05,mango
13.91,13.41,36.36,18.65,85.19,5.45,105.74,pomegranate
93.37,33.78,24.46,28.06,70.16,6.97,127.16,coffee
33.71,64.05,23.89,18.32,50.96,7.4,138.66,pigeonpeas
101.03,19.49,29.64,23.71,49.56,6.63,152.12,coffee
18.81,122.74,206.14,30.11,84.33,6.19,71.22,grapes
127.86,38.72,21.88,21.42,70.25,7.1,68.88,cotton
24.62,29.86,40.32,18.5,86.97,5.69,113.37,pomegranate
60.3,69.54,52.45,36.31,91.62,6.86,224.52,papaya
20.34,143.01,195.87,24.13,92.22,6.09,105.97,apple
30.12,69.38,20.5,30.44,65.47,6.44,64.8,blackgram
13.73,56.68,18.51,22.44,50.91,6.64,151.25,pigeonpeas
103.9,18.26,49.68,26.25,83.73,6.44,50.94,watermelon
56.14,52.79,52.9,38.86,93.93,6.65,204.73,papaya
51.76,68.77,25.26,32.83,68.83,7.55,71.33,blackgram
29.28,128.37,197.6,21.65,82.84,6.19,60.65,grapes
33.26,68.95,24.92,27.7,70.62,6.67,58.79,lentil
95.03,44.63,33.55,26.76,82.99,6.63,255.29,rice
94.7,21.27,29.17,24.9,57.82,6.62,134.73,coffee
40.89,49.75,53.71,35.92,93.94,6.56,124.22,papaya
33.31,63.37,76.44,17.38,15.62,8.69,78.28,chickpea
108.34,14.14,34.43,23.82,51.53,6.0,192.5,coffee
62.65,58.51,42.65,24.4,75.55,6.61,186.11,jute
10.97,37.49,22.54,27.33,42.79,7.81,41.62,mothbeans
11.13,25.38,40.74,19.01,91.66,6.8,97.43,pomegranate
41.44,64.44,40.58,39.95,91.31,6.78,89.24,papaya
33.48,73.62,21.89,31.53,59.83,7.01,106.67,pigeonpeas
13.93,123.25,201.43,23.31,92.56,6.51,107.66,apple
13.08,63.33,20.0,17.53,18.62,5.96,148.48,kidneybeans
28.43,28.3,12.89,10.98,91.7,7.0,124.13,orange
19.96,57.37,18.08,26.53,58.32,5.11,44.05,mothbeans
78.56,56.07,43.33,26.94,83.71,6.27,299.66,rice
16.38,52.87,20.57,27.06,87.79,6.87,50.58,mungbean
107.5,12.33,48.77,24.87,88.55,6.71,45.74,watermelon
29.21,14.68,37.24,20.76,84.77,6.5,105.8,pomegranate
14.37,25.27,33.17,25.77,94.33,6.36,225.95,coconut
15.67,19.67,25.38,25.47,98.59,6.19,210.19,coconut
62.69,51.26,45.94,23.01,75.21,6.55,175.12,jute
18.0,27.09,40.3,21.1,84.15,6.47,114.87,pomegranate
35.33,61.17,21.33,18.12,26.33,6.16,75.76,kidneybeans
27.02,36.54,19.88,24.34,56.58,8.41,47.84,mothbeans
82.28,52.15,42.23,25.18,88.31,6.64,150.11,jute
12.95,70.16,23.44,16.57,20.35,5.87,99.16,kidneybeans
74.17,41.02,40.28,25.93,82.05,6.21,220.87,rice
33.63,73.6,24.16,19.41,63.44,7.42,47.47,lentil
31.53,59.09,51.04,38.95,92.6,6.72,67.05,papaya
35.53,11.78,38.21,22.48,92.29,6.27,103.86,pomegranate
15.45,24.77,10.77,14.75,93.02,6.38,113.86,orange
30.32,71.56,75.71,16.89,15.02,6.63,82.06,chickpea
68.8,52.59,37.71,22.62,90.06,6.5,171.81,jute
19.78,28.25,46.99,19.89,89.89,6.95,92.79,pomegranate
122.17,35.52,22.96,24.51,82.24,6.29,98.29,cotton
22.56,34.58,25.47,25.51,51.86,6.19,58.29,mothbeans
35.57,38.99,22.46,28.8,85.41,6.95,44.72,mungbean
21.36,134.17,203.05,10.38,84.77,5.37,72.43,grapes
13.18,37.65,19.38,27.62,88.16,6.17,48.13,mungbean
33.92,81.13,20.08,19.55,62.16,7.1,43.09,lentil
103.21,47.44,14.89,24.53,81.19,6.06,73.06,cotton
12.63,59.63,21.01,19.35,24.3,5.91,61.2,kidneybeans
10.19,24.12,32.67,28.05,52.05,6.34,102.48,mango
107.57,28.39,52.26,29.29,88.99,6.17,30.29,muskmelon
31.05,72.85,22.02,15.68,22.64,5.71,105.1,kidneybeans
19.51,25.75,3.62,10.79,94.24,7.46,109.72,orange
6.45,73.15,22.91,21.12,50.04,7.27,131.78,pigeonpeas
91.21,52.91,13.55,20.87,61.34,6.1,91.3,maize
69.53,39.15,34.55,25.55,85.91,6.09,183.37,jute
78.28,23.95,32.03,23.38,60.6,6.52,136.24,coffee
111.82,53.56,18.91,26.6,68.08,6.18,65.84,cotton
84.84,56.96,15.68,24.1,63.36,6.73,63.08,maize
38.23,61.93,17.26,24.5,66.76,6.39,45.47,lentil
36.25,57.44,15.25,17.42,24.01,6.16,87.11,kidneybeans
24.57,34.09,44.09,23.78,87.3,6.99,99.72,pomegranate
46.62,68.25,46.45,35.56,90.84,6.65,214.67,papaya
89.44,52.98,40.36,22.22,83.09,6.4,243.25,rice
13.62,65.79,27.64,27.99,46.79,5.84,167.04,pigeonpeas
98.72,23.4,51.28,27.01,92.18,6.24,17.39,muskmelon
27.29,37.46,23.59,27.75,87.1,6.55,46.02,mungbean
24.36,74.54,15.08,18.48,19.72,5.63,90.17,kidneybeans
87.93,56.48,21.53,24.81,58.42,6.46,79.17,maize
83.44,48.93,35.49,26.07,78.62,7.31,188.35,jute
13.87,70.2,18.92,19.84,18.15,5.74,152.21,kidneybeans
51.14,62.55,78.05,18.18,18.64,8.44,75.61,chickpea
115.26,50.65,23.67,22.6,73.93,7.36,82.6,cotton
28.58,56.46,24.76,26.58,54.47,3.81,51.69,mothbeans
39.82,142.01,208.34,22.45,92.01,6.0,111.37,apple
41.69,47.52,50.95,23.31,92.16,7.02,118.66,papaya
22.96,27.27,43.99,23.03,86.98,6.21,102.11,pomegranate
120.78,56.3,15.26,23.92,63.07,6.15,84.97,cotton
25.03,17.88,26.66,31.5,54.55,5.41,86.24,mango
33.76,138.7,198.16,29.92,81.4,5.65,63.85,grapes
36.48,30.85,32.97,31.29,44.16,6.17,99.18,mango
105.72,31.09,33.84,25.5,58.54,6.53,187.43,coffee
92.51,27.58,34.2,25.1,61.39,7.05,153.61,coffee
137.96,42.31,18.47,26.38,78.75,7.41,73.48,cotton
21.63,51.02,16.84,24.7,58.7,5.16,82.48,mothbeans
18.64,19.91,37.18,26.85,97.82,6.54,209.44,coconut
27.33,16.1,29.14,28.23,97.99,6.26,150.64,coconut
32.86,26.76,25.46,27.38,93.06,6.19,174.35,coconut
33.93,127.03,201.38,22.0,95.08,5.67,96.41,apple
21.81,23.76,4.56,29.63,95.27,7.89,111.35,orange
39.67,18.58,28.85,31.62,53.78,5.52,91.27,mango
37.68,16.69,29.49,26.02,46.9,6.33,97.72,mango
23.34,11.78,8.13,21.99,96.55,6.53,104.44,orange
96.38,93.52,52.52,27.68,82.34,6.36,94.38,banana
28.51,138.63,197.29,23.86,89.26,5.98,119.23,apple
29.3,132.14,205.0,30.01,80.34,5.53,67.55,grapes
37.63,79.55,15.25,27.69,67.47,6.94,70.96,blackgram
22.75,58.49,15.22,20.08,26.03,5.67,124.03,kidneybeans
19.51,143.25,198.02,24.77,83.58,6.49,67.73,grapes
117.7,59.61,20.23,23.41,74.75,6.94,64.22,cotton
37.01,62.27,20.29,21.28,59.66,6.35,36.34,lentil
102.97,75.15,50.76,27.47,76.14,5.51,99.54,banana
18.17,36.63,17.99,26.05,46.75,7.37,33.74,mothbeans
15.27,132.3,199.44,22.45,90.99,5.94,103.26,apple
69.39,52.68,39.43,26.53,84.07,6.21,156.94,jute
13.46,66.39,17.5,26.79,60.02,7.26,42.23,lentil
107.23,27.06,27.57,23.22,53.88,7.16,149.36,coffee
9.86,10.28,10.86,25.6,91.71,7.35,121.09,orange
12.6,69.86,13.55,24.61,60.55,6.69,45.28,lentil
33.58,71.55,18.13,26.52,61.39,7.41,53.98,blackgram
91.91,79.64,55.86,28.32,80.98,6.17,98.94,banana
28.03,54.2,20.94,20.44,20.64,5.47,157.08,kidneybeans
5.31,10.58,36.62,22.34,94.78,5.5,112.28,pomegranate
67.13,50.5,42.94,22.71,78.87,7.18,166.73,jute
64.12,52.06,56.14,26.5,90.94,6.91,85.44,papaya
26.13,69.55,21.77,23.82,60.8,7.33,42.76,lentil
15.61,18.23,27.13,25.81,97.82,5.76,151.71,coconut
22.95,74.65,18.81,21.88,16.0,5.78,118.74,kidneybeans
36.08,65.24,14.06,15.63,23.7,5.17,79.05,kidneybeans
22.76,37.55,24.87,27.29,51.89,8.23,56.7,mothbeans
41.49,58.45,51.94,40.46,91.67,6.85,84.92,papaya
54.41,79.84,79.51,17.83,19.79,7.49,80.34,chickpea
93.83,22.7,47.89,25.54,87.27,5.86,61.69,watermelon
24.52,29.56,26.44,33.34,46.85,5.0,99.0,mango
43.18,33.13,32.89,30.5,53.86,5.12,93.2,mango
74.01,46.37,12.83,22.11,56.41,6.28,86.29,maize
116.03,89.88,52.02,27.13,76.05,6.68,93.1,banana
61.1,39.34,39.8,20.07,83.78,6.21,228.52,rice
40.42,45.51,25.24,25.37,60.27,4.49,30.68,mothbeans
25.42,118.19,194.1,23.17,93.34,5.59,106.54,apple
33.75,75.39,19.07,14.8,16.46,5.98,83.52,kidneybeans
38.79,65.5,18.85,28.05,65.57,6.91,50.97,lentil
52.99,67.97,84.14,18.49,15.7,7.4,87.37,chickpea
29.45,77.76,17.59,15.75,25.75,6.07,105.3,kidneybeans
104.2,39.69,17.27,23.11,72.98,6.77,81.98,cotton
33.82,75.75,23.47,26.01,35.35,6.93,96.03,pigeonpeas
19.58,70.4,85.42,20.74,13.42,8.09,72.34,chickpea
59.21,77.85,86.91,21.6,16.99,7.34,85.75,chickpea
118.74,25.84,51.17,29.2,92.43,6.17,27.3,muskmelon
19.92,126.68,195.97,41.8,80.15,6.17,74.05,grapes
34.69,69.3,19.26,29.87,62.36,7.61,33.62,lentil
29.2,131.44,201.88,23.16,94.83,6.04,93.11,apple
13.99,46.6,21.65,26.76,82.62,6.69,42.91,mungbean
27.06,64.92,25.53,24.22,63.85,6.18,97.24,pigeonpeas
45.79,71.57,88.07,19.91,19.11,7.31,82.92,chickpea
110.3,57.02,18.9,22.42,59.98,6.1,68.27,cotton
33.41,65.79,82.14,18.68,18.49,6.73,70.22,chickpea
24.31,67.77,11.07,23.59,46.01,4.8,194.33,pigeonpeas
22.41,135.61,200.48,21.25,84.09,6.13,68.7,grapes
10.22,133.36,199.58,22.62,90.29,5.72,108.75,apple
41.07,76.09,20.72,23.07,23.88,5.65,131.13,kidneybeans
36.07,57.86,19.41,30.17,65.65,6.81,69.01,blackgram
45.48,74.14,20.15,32.87,58.49,6.85,67.5,blackgram
24.99,65.06,20.36,20.41,37.66,7.35,186.96,pigeonpeas
105.31,31.79,29.44,27.26,50.89,6.43,189.82,coffee
11.6,68.4,22.45,22.74,59.01,6.13,50.12,lentil
130.8,61.86,21.19,21.57,82.21,6.09,75.01,cotton
25.86,14.99,11.1,22.53,91.2,7.82,112.23,orange
24.84,18.31,33.96,18.1,93.2,6.38,107.17,pomegranate
27.52,26.23,13.86,16.97,94.22,5.93,100.17,orange
33.31,146.41,198.85,19.86,95.38,5.91,125.48,apple
23.46,51.1,18.52,29.02,41.06,4.69,58.04,mothbeans
94.4,33.12,34.62,26.67,54.06,6.68,157.7,coffee
17.83,57.03,15.99,24.79,70.63,6.55,52.44,lentil
92.65,36.27,14.48,24.86,64.03,6.69,82.79,maize
85.88,41.5,20.51,20.85,60.53,6.75,84.82,maize
20.76,20.93,39.19,25.02,94.08,5.89,101.69,pomegranate
101.77,25.68,53.36,30.74,93.65,6.24,36.58,muskmelon
90.97,45.77,17.01,23.65,67.01,5.67,83.0,maize
30.36,46.88,21.29,28.5,89.93,6.96,40.57,mungbean
99.95,57.17,39.68,22.56,73.04,7.69,182.5,jute
62.97,43.71,18.68,18.32,60.05,6.56,75.11,maize
9.63,58.56,16.46,24.23,62.2,7.87,56.28,lentil
34.43,59.42,80.53,19.03,17.57,6.73,94.07,chickpea
33.29,38.75,18.46,28.33,81.63,6.58,61.58,mungbean
11.59,22.26,28.24,26.84,97.65,5.54,166.56,coconut
41.1,17.39,35.33,25.68,97.23,5.65,141.84,coconut
135.54,54.57,20.68,25.23,83.08,6.07,68.99,cotton
21.59,55.66,26.99,23.34,23.64,5.56,57.09,kidneybeans
22.2,68.76,72.05,16.28,15.56,8.24,86.75,chickpea
37.68,46.61,17.7,25.53,57.15,7.2,36.85,mothbeans
119.03,19.95,28.43,25.17,57.63,7.48,146.87,coffee
44.37,63.59,16.06,33.51,67.36,7.28,77.71,blackgram
113.21,56.94,16.24,25.64,65.84,7.47,68.93,cotton
82.5,37.64,18.78,20.79,71.48,6.85,64.45,maize
18.48,55.3,21.68,26.05,60.09,8.5,36.12,mothbeans
25.04,75.36,17.97,18.98,62.54,7.38,51.09,lentil
10.17,63.18,17.46,18.03,20.3,5.6,67.19,kidneybeans
118.21,92.9,45.99,29.02,75.03,5.4,112.28,banana
85.71,18.23,56.18,25.94,90.32,6.8,56.29,watermelon
40.29,123.56,203.17,11.5,79.84,6.38,64.95,grapes
17.9,72.94,27.87,22.08,63.61,6.01,44.34,lentil
25.39,80.38,25.44,28.67,66.48,7.29,61.19,blackgram
100.52,58.19,40.41,23.77,85.44,6.99,198.71,rice
11.86,23.37,33.28,24.98,83.68,7.16,111.59,pomegranate
32.52,16.7,28.93,30.35,47.01,4.3,89.59,mango
26.16,12.24,27.88,27.13,96.75,5.67,206.18,coconut
126.76,56.35,22.26,22.83,80.95,6.95,91.11,cotton
21.0,47.15,14.37,27.62,59.92,6.57,60.1,mothbeans
29.31,53.68,17.97,28.97,84.65,7.0,48.35,mungbean
24.39,55.21,19.43,24.23,63.4,7.06,55.45,lentil
42.69,133.51,194.4,13.03,81.29,6.27,68.18,grapes
13.14,83.35,19.45,17.74,60.29,5.06,97.94,pigeonpeas
105.87,90.27,47.28,22.12,79.55,5.7,104.61,banana
95.63,55.69,24.29,24.67,59.73,5.59,75.05,maize
119.99,92.12,50.53,30.16,75.03,6.1,108.12,banana
110.45,16.42,49.01,28.63,91.87,6.26,36.64,muskmelon
27.39,122.68,197.85,33.71,84.98,6.29,69.23,grapes
11.24,77.09,16.21,17.97,65.9,6.86,51.34,lentil
109.15,29.2,53.31,24.91,83.9,6.9,45.89,watermelon
84.19,91.2,47.5,28.34,76.01,5.68,118.75,banana
15.59,145.49,200.33,21.74,93.81,6.21,106.69,apple
36.5,37.5,28.81,28.49,54.36,6.36,86.54,mango
3.1,53.2,14.48,27.88,43.5,4.21,60.31,mothbeans
116.26,87.42,49.63,25.17,83.91,6.43,95.27,banana
11.13,28.76,14.72,21.92,91.25,7.25,119.1,orange
32.31,7.42,10.97,22.48,93.18,7.95,125.69,orange
33.45,138.19,197.13,21.67,93.2,6.54,110.83,apple
94.25,47.89,33.59,23.68,83.97,7.24,180.16,jute
19.95,16.23,33.02,29.73,47.41,6.06,102.95,mango
64.36,35.38,43.34,25.04,81.95,6.79,202.11,rice
19.16,140.27,197.86,25.59,80.67,6.12,69.77,grapes
27.59,66.52,75.6,17.43,13.9,7.0,75.69,chickpea
69.93,41.54,52.63,30.38,94.38,7.05,230.42,papaya
95.63,46.53,23.0,24.84,54.44,5.77,74.45,maize
81.38,12.89,45.47,28.75,90.29,6.41,19.63,muskmelon
60.21,48.08,46.95,43.62,91.22,6.75,62.74,papaya
77.62,40.08,39.43,23.8,89.73,6.94,161.61,jute
73.64,57.45,16.63,20.33,70.34,6.07,66.29,maize
11.94,129.06,201.07,20.69,96.53,6.27,107.5,apple
28.25,69.25,23.72,33.36,31.22,6.12,149.28,pigeonpeas
107.23,22.21,31.41,25.62,65.86,7.02,123.26,coffee
29.85,130.73,203.52,23.34,92.15,5.68,109.16,apple
20.85,32.24,25.16,23.58,92.7,6.13,168.1,coconut
31.21,66.94,21.22,30.76,62.09,6.31,34.6,lentil
27.07,26.88,29.22,29.39,48.88,6.41,101.88,mango
107.22,21.73,51.96,30.42,92.27,6.98,21.08,muskmelon
57.9,36.37,39.56,25.7,88.9,6.46,157.81,jute
116.4,47.88,26.18,23.0,84.19,6.28,99.75,cotton
37.62,30.69,12.2,22.79,91.4,6.68,106.26,orange
29.84,27.62,41.03,22.83,91.89,6.19,94.04,pomegranate
40.21,75.97,21.51,26.21,66.17,6.74,77.63,blackgram
64.54,37.51,37.28,22.21,84.51,6.48,298.29,rice
22.8,39.63,19.5,31.58,40.66,7.36,78.36,mothbeans
111.9,26.51,54.64,27.72,92.5,6.7,11.09,muskmelon
122.07,8.48,50.48,26.76,87.85,6.8,55.3,watermelon
16.03,71.17,26.62,20.32,63.71,6.2,43.07,lentil
41.93,71.46,20.65,24.32,46.66,4.66,163.76,pigeonpeas
18.09,140.06,199.27,15.91,80.84,6.26,69.9,grapes
33.13,55.4,17.6,30.44,50.69,4.33,44.67,mothbeans
35.23,18.41,43.11,24.33,87.83,5.92,114.13,pomegranate
94.68,56.49,42.97,23.67,75.94,7.16,193.11,jute
87.27,21.0,46.35,26.5,79.95,6.7,47.17,watermelon
95.58,30.58,40.76,23.87,56.34,6.72,159.77,coffee
73.27,44.56,42.01,25.72,88.23,5.9,174.57,jute
19.9,120.38,202.5,21.94,92.71,5.63,124.72,apple
65.57,51.66,46.15,25.06,78.39,6.46,192.58,jute
32.06,21.66,9.02,15.2,91.45,7.72,95.12,orange
9.31,34.13,31.01,36.39,45.75,5.09,90.96,mango
14.27,63.94,26.37,22.88,21.03,5.51,123.65,kidneybeans
118.35,15.38,53.98,24.52,90.14,6.37,53.42,watermelon
29.95,76.12,20.79,18.6,59.02,5.9,147.61,pigeonpeas
113.66,44.63,17.72,22.17,61.71,6.61,82.13,cotton
41.92,20.72,7.35,12.61,90.43,7.45,107.98,orange
94.87,11.07,49.92,26.47,85.34,6.72,40.47,watermelon
92.67,19.47,47.61,28.76,92.57,6.44,30.57,muskmelon
135.16,43.08,15.94,27.46,65.89,6.94,92.81,cotton
31.8,69.46,13.93,19.05,24.04,5.85,80.05,kidneybeans
41.98,72.95,78.91,20.6,14.15,8.24,70.1,chickpea
35.07,69.32,17.0,31.89,69.13,6.66,78.47,blackgram
23.23,59.64,21.35,26.87,62.49,6.75,48.69,lentil
75.14,56.81,38.04,24.05,74.91,7.52,183.22,jute
24.21,20.68,45.43,21.88,89.22,7.02,107.06,pomegranate
96.32,19.62,46.2,27.35,92.35,6.22,20.38,muskmelon
21.12,21.99,30.12,25.97,94.96,6.71,155.3,coconut
119.66,70.06,49.51,24.49,76.91,5.9,108.3,banana
96.56,23.19,54.39,28.2,92.09,6.15,27.96,muskmelon
92.7,78.36,55.73,29.71,76.62,5.65,108.14,banana
93.19,34.78,18.63,22.57,65.7,5.79,85.8,maize
13.5,63.03,14.18,20.08,65.19,7.5,36.76,lentil
33.41,142.08,201.88,23.12,82.83,5.55,85.35,grapes
100.58,27.59,31.06,25.99,60.57,7.11,194.39,coffee
32.56,74.8,82.3,17.19,19.24,8.23,77.17,chickpea
23.78,46.87,19.04,28.5,90.23,6.2,51.2,mungbean
37.97,73.47,17.46,28.7,65.98,6.94,43.96,lentil
48.78,68.58,17.86,32.52,65.19,7.01,76.11,blackgram
104.16,75.35,50.05,25.35,74.37,6.46,115.95,banana
73.26,46.14,42.43,24.07,79.57,6.53,149.87,jute
35.76,15.51,32.14,32.17,50.51,6.1,98.9,mango
22.54,40.63,17.12,27.96,46.19,6.32,52.4,mothbeans
30.62,46.46,14.88,32.43,60.66,6.68,62.29,mothbeans
112.45,20.0,50.88,26.46,90.76,5.91,45.19,watermelon
48.89,56.4,12.93,32.01,71.97,7.63,79.3,blackgram
30.84,26.79,8.55,20.66,92.53,7.81,115.68,orange
87.23,17.91,46.07,25.41,82.41,6.24,49.1,watermelon
26.4,126.61,197.78,22.79,92.86,5.67,115.85,apple
37.99,140.38,200.84,23.86,90.76,6.02,107.67,apple
94.96,29.1,30.24,23.15,56.98,6.65,162.17,coffee
32.88,60.17,20.33,29.31,63.47,6.73,57.83,blackgram
80.84,10.66,53.26,24.51,83.26,6.77,54.42,watermelon
112.69,46.08,18.76,26.91,72.47,7.29,74.83,cotton
78.6,63.12,18.55,28.02,57.23,6.68,74.05,maize
58.5,78.09,21.11,29.95,68.17,7.08,62.77,blackgram
9.03,139.45,201.94,14.59,77.53,6.01,77.23,grapes
47.72,80.32,83.5,17.7,15.86,6.08,69.14,chickpea
22.38,134.34,194.95,8.19,85.01,6.24,65.79,grapes
16.19,20.59,35.02,28.68,95.94,6.29,219.03,coconut
83.97,78.16,43.67,28.89,75.58,5.48,116.19,banana
10.48,45.77,19.34,29.59,82.86,7.08,40.34,mungbean
19.16,50.07,18.2,25.35,46.5,6.24,52.08,mothbeans
125.62,52.1,23.58,23.14,69.68,7.73,90.58,cotton
12.77,74.64,25.34,17.01,19.91,5.79,128.33,kidneybeans
120.77,42.53,21.94,22.52,82.43,7.95,92.0,cotton
89.95,30.35,47.24,24.28,89.53,6.62,51.96,watermelon
9.9,16.92,28.02,25.57,97.23,5.78,143.14,coconut
28.2,124.3,195.24,25.22,83.81,5.76,71.21,grapes
37.76,144.6,201.41,22.54,92.34,5.67,117.91,apple
64.61,46.23,51.22,26.93,90.73,6.84,238.65,papaya
101.01,38.58,43.49,24.59,87.1,6.93,220.08,rice
87.63,30.8,48.93,27.62,89.55,6.84,45.74,watermelon
86.31,31.86,25.28,28.42,50.63,6.77,136.59,coffee
